,Technology,Test_type,Data Speed(Mbps),Signal_strength
6374,3G,Download,0.28,-83
6375,3G,Download,0.35,-83
6376,3G,Download,0.28,-83
6377,3G,Download,0.2,-83
6378,3G,Download,0.31,-83
6379,3G,Download,0.27,-91
6380,3G,Download,0.32,-83
6381,3G,Upload,0.48,-83
6382,3G,Upload,0.37,-83
6383,3G,Upload,0.7,-91
6384,3G,Upload,0.22,-83
6385,3G,Upload,0.57,-83
6386,3G,Upload,0.52,-91
6387,3G,Upload,0.7,-83
6420,3G,Download,7.54,-89
6426,3G,Upload,1.25,-91
6430,3G,Download,0.1,-97
6431,3G,Download,0.92,-91
6432,3G,Upload,1.23,-97
6433,3G,Upload,1.32,-91
6444,3G,Download,8.94,-83
6445,3G,Download,13.28,-79
6446,3G,Download,9.44,-79
6447,3G,Download,1.41,-83
6448,3G,Download,7.78,-79
6449,3G,Download,3.25,-81
6450,3G,Download,3.33,-85
6451,3G,Download,8.91,-91
6452,3G,Download,8.6,-79
6453,3G,Download,6.21,-77
6454,3G,Upload,2.98,-81
6455,3G,Upload,2.65,-79
